timestamp_iso,timestamp_ms,action,delta_len,change,after_text
2026-04-23T12:18:03.283000+00:00,1776946683283,insert,1,a,a
2026-04-23T12:18:04+00:00,1776946684000,insert,1,a,aa
2026-04-23T12:18:04.112000+00:00,1776946684112,insert,1,s,aas
2026-04-23T12:18:04.185000+00:00,1776946684185,insert,1,d,aasd
2026-04-23T12:18:04.238000+00:00,1776946684238,insert,1,f,aasdf
2026-04-23T12:18:04.412000+00:00,1776946684412,insert,1,a,aasdfa
2026-04-23T12:18:04.472000+00:00,1776946684472,insert,1,s,aasdfas
2026-04-23T12:18:04.527000+00:00,1776946684527,insert,1,d,aasdfasd
2026-04-23T12:18:04.577000+00:00,1776946684577,insert,1,f,aasdfasdf
2026-04-23T12:18:04.710000+00:00,1776946684710,insert,1,a,aasdfasdfa
2026-04-23T12:18:04.738000+00:00,1776946684738,insert,1,s,aasdfasdfas
2026-04-23T12:18:04.819000+00:00,1776946684819,insert,1,d,aasdfasdfasd
2026-04-23T12:18:04.820000+00:00,1776946684820,insert,1,f,aasdfasdfasdf
2026-04-23T12:24:04.120000+00:00,1776947044120,insert,1,a,a
2026-04-23T12:24:04.217000+00:00,1776947044217,insert,1,s,as
2026-04-23T12:24:04.236000+00:00,1776947044236,insert,1,d,asd
2026-04-23T12:24:04.626000+00:00,1776947044626,insert,1,f,asdf
2026-04-23T12:27:32.667000+00:00,1776947252667,insert,1,a,a
2026-04-23T12:27:32.692000+00:00,1776947252692,insert,1,s,as
2026-04-23T12:27:33.001000+00:00,1776947253001,insert,1,d,asd
2026-04-23T12:27:33.061000+00:00,1776947253061,insert,1,f,asdf
